	t	protein
770	7710	56885816.998744
771	7720	56946643.8687451
772	7730	57007436.5123005
773	7740	57068194.9839873
774	7750	57128919.3382426
775	7760	57189609.6293643
776	7770	57250265.9115113
777	7780	57310888.2387041
778	7790	57371476.6648249
779	7800	57432031.2436186
780	7810	57492552.028693
781	7820	57553039.0735191
782	7830	57613492.4314319
783	7840	57673912.1556306
784	7850	57734298.2991792
785	7860	57794650.9150066
786	7870	57854970.0559078
787	7880	57915255.7745436
788	7890	57975508.1234412
789	7900	58035727.1549952
790	7910	58095912.9214672
791	7920	58156065.4749868
792	7930	58216184.867552
793	7940	58276271.1510293
794	7950	58336324.3771548
795	7960	58396344.5975338
796	7970	58456331.8636419
797	7980	58516286.2268248
798	7990	58576207.7382996
799	8000	58636096.4491546
800	8010	58695952.4103494
801	8020	58755775.6727164
802	8030	58815566.2869604
803	8040	58875324.3036591
804	8050	58935049.7732638
805	8060	58994742.7460996
806	8070	59054403.2723658
807	8080	59114031.4021366
808	8090	59173627.1853613
809	8100	59233190.6718644
810	8110	59292721.9113468
811	8120	59352220.9533854
812	8130	59411687.8474341
813	8140	59471122.6428238
814	8150	59530525.3887631
815	8160	59589896.1343383
816	8170	59649234.9285144
817	8180	59708541.8201351
818	8190	59767816.8579231
819	8200	59827060.0904808
820	8210	59886271.5662903
821	8220	59945451.3337147
822	8230	60004599.4409971
823	8240	60063715.9362621
824	8250	60122800.8675159
825	8260	60181854.2826464
826	8270	60240876.2294239
827	8280	60299866.7555015
828	8290	60358825.9084153
829	8300	60417753.7355845
830	8310	60476650.2843127
831	8320	60535515.6017873
832	8330	60594349.7350805
833	8340	60653152.7311494
834	8350	60711924.6368364
835	8360	60770665.4988695
836	8370	60829375.3638632
837	8380	60888054.2783179
838	8390	60946702.2886212
839	8400	61005319.4410478
840	8410	61063905.7817599
841	8420	61122461.3568076
842	8430	61180986.2121293
843	8440	61239480.3935522
844	8450	61297943.9467923
845	8460	61356376.917455
846	8470	61414779.3510355
847	8480	61473151.2929189
848	8490	61531492.7883811
849	8500	61589803.8825883
850	8510	61648084.6205982
851	8520	61706335.0473597
852	8530	61764555.207714
853	8540	61822745.1463941
854	8550	61880904.9080254
855	8560	61939034.5371266
856	8570	61997134.0781093
857	8580	62055203.5752788
858	8590	62113243.0728344
859	8600	62171252.6148694
860	8610	62229232.2453717
861	8620	62287182.0082245
862	8630	62345101.9472058
863	8640	62402992.1059895
864	8650	62460852.5281453
865	8660	62518683.2571391
866	8670	62576484.3363334
867	8680	62634255.8089878
868	8690	62691997.7182591
869	8700	62749710.1072014
870	8710	62807393.018767
871	8720	62865046.4958064
872	8730	62922670.5810685
873	8740	62980265.3172013
874	8750	63037830.7467516
875	8760	63095366.9121662
876	8770	63152873.8557914
877	8780	63210351.6198737
878	8790	63267800.2465602
879	8800	63325219.7778988
880	8810	63382610.2558382
881	8820	63439971.7222288
882	8830	63497304.2188227
883	8840	63554607.7872739
884	8850	63611882.4691388
885	8860	63669128.3058765
886	8870	63726345.3388489
887	8880	63783533.6093213
888	8890	63840693.1584626
889	8900	63897824.0273455
890	8910	63954926.2569467
891	8920	64011999.8881478
892	8930	64069044.9617348
893	8940	64126061.5183988
894	8950	64183049.5987365
895	8960	64240009.2432501
896	8970	64296940.4923476
897	8980	64353843.3863437
898	8990	64410717.9654592
899	9000	64467564.2698219
900	9010	64524382.3394669
901	9020	64581172.2143366
902	9030	64637933.9342808
903	9040	64694667.5390578
904	9050	64751373.0683339
905	9060	64808050.5616841
906	9070	64864700.0585922
907	9080	64921321.598451
908	9090	64977915.2205629
909	9100	65034480.96414
910	9110	65091018.8683043
911	9120	65147528.9720881
912	9130	65204011.3144341
913	9140	65260465.9341961
914	9150	65316892.8701388
915	9160	65373292.1609382
916	9170	65429663.8451821
917	9180	65486007.9613701
918	9190	65542324.5479139
919	9200	65598613.6431381
920	9210	65654875.2852796
921	9220	65711109.5124883
922	9230	65767316.3628275
923	9240	65823495.874274
924	9250	65879648.0847185
925	9260	65935773.0319655
926	9270	65991870.7537339
927	9280	66047941.2876575
928	9290	66103984.6712845
929	9300	66160000.9420786
930	9310	66215990.1374184
931	9320	66271952.2945987
932	9330	66327887.4508296
933	9340	66383795.6432379
934	9350	66439676.9088664
935	9360	66495531.2846747
936	9370	66551358.8075393
937	9380	66607159.5142538
938	9390	66662933.4415293
939	9400	66718680.6259946
940	9410	66774401.1041962
941	9420	66830094.912599
942	9430	66885762.0875861
943	9440	66941402.6654597
944	9450	66997016.6824401
945	9460	67052604.1746676
946	9470	67108165.1782014
947	9480	67163699.7290207
948	9490	67219207.8630239
949	9500	67274689.6160302
950	9510	67330145.0237789
951	9520	67385574.12193
952	9530	67440976.9460645
953	9540	67496353.5316839
954	9550	67551703.9142118
955	9560	67607028.1289928
956	9570	67662326.2112933
957	9580	67717598.196302
958	9590	67772844.11913
959	9600	67828064.0148104
960	9610	67883257.9182993
961	9620	67938425.8644758
962	9630	67993567.8881421
963	9640	68048684.0240239
964	9650	68103774.3067705
965	9660	68158838.7709552
966	9670	68213877.4510752
967	9680	68268890.3815521
968	9690	68323877.5967322
969	9700	68378839.1308865
970	9710	68433775.0182109
971	9720	68488685.2928267
972	9730	68543569.9887805
973	9740	68598429.1400448
974	9750	68653262.7805178
975	9760	68708070.9440239
976	9770	68762853.6643135
977	9780	68817610.9750642
978	9790	68872342.9098799
979	9800	68927049.5022916
980	9810	68981730.7857575
981	9820	69036386.7936632
982	9830	69091017.5593221
983	9840	69145623.1159753
984	9850	69200203.496792
985	9860	69254758.7348696
986	9870	69309288.8632341
987	9880	69363793.9148401
988	9890	69418273.9225711
989	9900	69472728.9192398
990	9910	69527158.9375882
991	9920	69581564.0102877
992	9930	69635944.1699396
993	9940	69690299.4490751
994	9950	69744629.8801553
995	9960	69798935.4955723
996	9970	69853216.327648
997	9980	69907472.4086356
998	9990	69961703.770719
999	10000	70015910.4460132
1000	10010	70070092.4665647
1001	10020	70124249.8643516
1002	10030	70178382.6712836
1003	10040	70232490.9192028
1004	10050	70286574.6398827
1005	10060	70340633.8650298
1006	10070	70394668.6262828
1007	10080	70448678.9552134
1008	10090	70502664.8833261
1009	10100	70556626.4420586
1010	10110	70610563.6627818
1011	10120	70664476.5768003
1012	10130	70718365.2153523
1013	10140	70772229.60961
1014	10150	70826069.7906796
1015	10160	70879885.7896016
1016	10170	70933677.637351
1017	10180	70987445.3648376
1018	10190	71041189.0029058
1019	10200	71094908.5823354
1020	10210	71148604.1338411
1021	10220	71202275.688073
1022	10230	71255923.2756171
1023	10240	71309546.9269951
1024	10250	71363146.6726643
1025	10260	71416722.5430187
1026	10270	71470274.5683884
1027	10280	71523802.7790399
1028	10290	71577307.2051766
1029	10300	71630787.8769387
1030	10310	71684244.8244034
1031	10320	71737678.0775853
1032	10330	71791087.6664362
1033	10340	71844473.6208459
1034	10350	71897835.9706413
1035	10360	71951174.7455881
1036	10370	72004489.9753894
1037	10380	72057781.6896872
1038	10390	72111049.9180615
1039	10400	72164294.6900311
1040	10410	72217516.0350538
1041	10420	72270713.9825264
1042	10430	72323888.5617846
1043	10440	72377039.8021036
1044	10450	72430167.7326983
1045	10460	72483272.382723
1046	10470	72536353.7812721
1047	10480	72589411.95738
1048	10490	72642446.9400213
1049	10500	72695458.7581108
1050	10510	72748447.4405039
1051	10520	72801413.0159967
1052	10530	72854355.5133266
1053	10540	72907274.9611713
1054	10550	72960171.3881504
1055	10560	73013044.8228244
1056	10570	73065895.2936955
1057	10580	73118722.8292076
1058	10590	73171527.4577466
1059	10600	73224309.20764
1060	10610	73277068.1071581
1061	10620	73329804.1845131
1062	10630	73382517.4678598
1063	10640	73435207.9852958
1064	10650	73487875.7648612
1065	10660	73540520.8345397
1066	10670	73593143.2222576
1067	10680	73645742.9558847
1068	10690	73698320.0632343
1069	10700	73750874.5720632
1070	10710	73803406.5100722
1071	10720	73855915.9049058
1072	10730	73908402.7841528
1073	10740	73960867.175346
1074	10750	74013309.1059628
1075	10760	74065728.6034252
1076	10770	74118125.6950996
1077	10780	74170500.4082977
1078	10790	74222852.7702759
1079	10800	74275182.8082359
1080	10810	74327490.5493247
1081	10820	74379776.0206347
1082	10830	74432039.2492038
1083	10840	74484280.262016
1084	10850	74536499.0860009
